times 	 signal 	 freqs 	 dft
142.0000000000	-4.0140907489	0.0032870370	53.5595395423
143.0000000000	-4.0200907489	0.0033101852	52.8959965472
144.0000000000	-4.0240907489	0.0033333333	98.4101582702
145.0000000000	-4.0310907489	0.0033564815	75.5071397761
146.0000000000	-4.0350907489	0.0033796296	58.2703726791
147.0000000000	-4.0400907489	0.0034027778	62.8484839807
148.0000000000	-4.0440907489	0.0034259259	44.4076676904
149.0000000000	-4.0450907489	0.0034490741	10.9877512541
150.0000000000	-4.0510907489	0.0034722222	82.8777561662
151.0000000000	-4.0540907489	0.0034953704	43.7290213735
152.0000000000	-4.0570907489	0.0035185185	14.4349357207
153.0000000000	-4.0610907489	0.0035416667	31.7790598550
154.0000000000	-4.0640907489	0.0035648148	64.6132221235
155.0000000000	-4.0660907489	0.0035879630	16.9710637249
156.0000000000	-4.0690907489	0.0036111111	21.5714139378
157.0000000000	-4.0650907489	0.0036342593	47.7964213628
158.0000000000	-4.0680907489	0.0036574074	38.3696669993
159.0000000000	-4.0690907489	0.0036805556	31.6342619176
160.0000000000	-4.0670907489	0.0037037037	26.4204612481
161.0000000000	-4.0690907489	0.0037268519	31.3424866002
162.0000000000	-4.0680907489	0.0037500000	27.4434927019
163.0000000000	-4.0710907489	0.0037731481	20.9997584790
164.0000000000	-4.0730907489	0.0037962963	44.0014747925
165.0000000000	-4.0710907489	0.0038194444	45.2794205864
166.0000000000	-4.0750907489	0.0038425926	26.7732272407
167.0000000000	-4.0740907489	0.0038657407	31.3849186360
168.0000000000	-4.0720907489	0.0038888889	70.7263836998
169.0000000000	-4.0730907489	0.0039120370	49.2948309369
170.0000000000	-4.0690907489	0.0039351852	47.4024772563
171.0000000000	-4.0650907489	0.0039583333	41.4701414810
172.0000000000	-4.0600907489	0.0039814815	157.4015606286
173.0000000000	-4.0530907489	0.0040046296	150.7341979998
174.0000000000	-4.0460907489	0.0040277778	382.8731852968
175.0000000000	-4.0380907489	0.0040509259	205.1934457173
176.0000000000	-4.0310907489	0.0040740741	268.5813990733
177.0000000000	-4.0220907489	0.0040972222	100.3815552118
178.0000000000	-4.0150907489	0.0041203704	75.4467757402
179.0000000000	-4.0090907489	0.0041435185	76.9789395512
180.0000000000	-4.0040907489	0.0041666667	97.6732170484
181.0000000000	-3.9980907489	0.0041898148	33.1311104458
182.0000000000	-3.9960907489	0.0042129630	15.1480351981
183.0000000000	-3.9900907489	0.0042361111	24.6733235055
184.0000000000	-3.9840907489	0.0042592593	32.9810086443
185.0000000000	-3.9770907489	0.0042824074	55.7583003391
186.0000000000	-3.9680907489	0.0043055556	46.2485502860
187.0000000000	-3.9590907489	0.0043287037	4.8247122044
188.0000000000	-3.9470907489	0.0043518519	34.1180454157
189.0000000000	-3.9340907489	0.0043750000	28.9401910235
190.0000000000	-3.9220907489	0.0043981481	43.7109760872
191.0000000000	-3.9100907489	0.0044212963	29.1621722974
192.0000000000	-3.8970907489	0.0044444444	40.5211354637
193.0000000000	-3.8860907489	0.0044675926	51.7691379947
194.0000000000	-3.8740907489	0.0044907407	24.9845638478
195.0000000000	-3.8600907489	0.0045138889	29.0285036048
196.0000000000	-3.8490907489	0.0045370370	58.9920298863
197.0000000000	-3.8350907489	0.0045601852	29.8218040162
198.0000000000	-3.8240907489	0.0045833333	26.9278629446
199.0000000000	-3.8110907489	0.0046064815	26.8592641643
200.0000000000	-3.8010907489	0.0046296296	23.9564315960
201.0000000000	-3.7880907489	0.0046527778	9.5599856371
202.0000000000	-3.7770907489	0.0046759259	48.1187707075
203.0000000000	-3.7660907489	0.0046990741	20.8479128375
204.0000000000	-3.7510907489	0.0047222222	19.8770034627
205.0000000000	-3.7370907489	0.0047453704	30.2535210139
206.0000000000	-3.7220907489	0.0047685185	40.8124463265
207.0000000000	-3.7040907489	0.0047916667	30.9551690188
208.0000000000	-3.6860907489	0.0048148148	10.2438341222
209.0000000000	-3.6700907489	0.0048379630	22.1817556130
210.0000000000	-3.6530907489	0.0048611111	20.0187846648
211.0000000000	-3.6340907489	0.0048842593	26.0744417225
212.0000000000	-3.6170907489	0.0049074074	30.8167240038
213.0000000000	-3.6010907489	0.0049305556	15.4147473311
214.0000000000	-3.5830907489	0.0049537037	31.5326564297
215.0000000000	-3.5640907489	0.0049768519	59.9923210525
216.0000000000	-3.5450907489	0.0050000000	17.5842616363
217.0000000000	-3.5250907489	0.0050231481	14.3778728783
218.0000000000	-3.5040907489	0.0050462963	19.8832383177
219.0000000000	-3.4820907489	0.0050694444	25.1294270621
220.0000000000	-3.4580907489	0.0050925926	32.0330099135
221.0000000000	-3.4340907489	0.0051157407	49.6928306354
222.0000000000	-3.4100907489	0.0051388889	25.5300852412
223.0000000000	-3.3890907489	0.0051620370	41.2843365055
224.0000000000	-3.3660907489	0.0051851852	34.0586387146
225.0000000000	-3.3460907489	0.0052083333	38.6333859801
226.0000000000	-3.3240907489	0.0052314815	33.4957771654
227.0000000000	-3.3020907489	0.0052546296	39.8449421625
228.0000000000	-3.2800907489	0.0052777778	44.7692657975
229.0000000000	-3.2560907489	0.0053009259	68.9221771746
230.0000000000	-3.2310907489	0.0053240741	66.4985129069
231.0000000000	-3.2050907489	0.0053472222	243.4433884212
232.0000000000	-3.1810907489	0.0053703704	168.7611967075
233.0000000000	-3.1550907489	0.0053935185	118.3213455000
234.0000000000	-3.1300907489	0.0054166667	207.9019701355
235.0000000000	-3.1050907489	0.0054398148	84.1553303140
236.0000000000	-3.0800907489	0.0054629630	123.1993414604
237.0000000000	-3.0550907489	0.0054861111	56.3969168859
238.0000000000	-3.0290907489	0.0055092593	33.2205906787
239.0000000000	-3.0030907489	0.0055324074	40.8787225311
240.0000000000	-2.9760907489	0.0055555556	31.1981103991
241.0000000000	-2.9460907489	0.0055787037	45.3049871952
242.0000000000	-2.9150907489	0.0056018519	49.8883465140
243.0000000000	-2.8860907489	0.0056250000	20.3063608611
244.0000000000	-2.8540907489	0.0056481481	9.3532829958
245.0000000000	-2.8220907489	0.0056712963	6.8218252360
246.0000000000	-2.7900907489	0.0056944444	51.1211018189
247.0000000000	-2.7610907489	0.0057175926	32.3297363663
248.0000000000	-2.7320907489	0.0057407407	39.8189229106
249.0000000000	-2.7030907489	0.0057638889	24.2415466266
250.0000000000	-2.6760907489	0.0057870370	18.2978279885
251.0000000000	-2.6470907489	0.0058101852	26.2361493273
252.0000000000	-2.6180907489	0.0058333333	37.1930626144
253.0000000000	-2.5870907489	0.0058564815	30.2284874891
254.0000000000	-2.5540907489	0.0058796296	22.8283483567
255.0000000000	-2.5210907489	0.0059027778	31.3233674087
256.0000000000	-2.4870907489	0.0059259259	43.4341515144
257.0000000000	-2.4570907489	0.0059490741	33.3687360271
258.0000000000	-2.4320907489	0.0059722222	24.5837757349
259.0000000000	-2.4090907489	0.0059953704	44.5163207244
260.0000000000	-2.3880907489	0.0060185185	12.0139334384
261.0000000000	-2.3670907489	0.0060416667	38.6117601387
262.0000000000	-2.3450907489	0.0060648148	68.2673980095
263.0000000000	-2.3210907489	0.0060879630	4.5066790440
264.0000000000	-2.2920907489	0.0061111111	42.8887342295
265.0000000000	-2.2620907489	0.0061342593	24.2711968512
266.0000000000	-2.2280907489	0.0061574074	43.5554062141
267.0000000000	-2.1920907489	0.0061805556	50.6053488320
268.0000000000	-2.1520907489	0.0062037037	42.9630165142
269.0000000000	-2.1090907489	0.0062268519	35.1359345501
270.0000000000	-2.0640907489	0.0062500000	3.9085116867
271.0000000000	-2.0140907489	0.0062731481	33.7091675905
272.0000000000	-1.9620907489	0.0062962963	21.4310586782
273.0000000000	-1.9070907489	0.0063194444	26.0049591552
274.0000000000	-1.8480907489	0.0063425926	27.5857810416
275.0000000000	-1.7950907489	0.0063657407	30.4112815746
276.0000000000	-1.7410907489	0.0063888889	31.3802595155
277.0000000000	-1.6960907489	0.0064120370	49.2275358852
278.0000000000	-1.6550907489	0.0064351852	25.8690787228
279.0000000000	-1.6200907489	0.0064583333	24.5524636098
280.0000000000	-1.5890907489	0.0064814815	36.8156494611
281.0000000000	-1.5580907489	0.0065046296	37.0392110399
282.0000000000	-1.5250907489	0.0065277778	38.2405736681
283.0000000000	-1.4900907489	0.0065509259	27.0242375724
284.0000000000	-1.4510907489	0.0065740741	23.3731360955
285.0000000000	-1.4130907489	0.0065972222	40.3501372286
286.0000000000	-1.3730907489	0.0066203704	49.0257531836
287.0000000000	-1.3380907489	0.0066435185	52.3557251723
288.0000000000	-1.3090907489	0.0066666667	32.6631170812
289.0000000000	-1.2820907489	0.0066898148	83.1245965701
290.0000000000	-1.2590907489	0.0067129630	22.5820196374
291.0000000000	-1.2390907489	0.0067361111	45.1273736663
292.0000000000	-1.2180907489	0.0067592593	57.8330570411
293.0000000000	-1.2040907489	0.0067824074	45.0276440105
294.0000000000	-1.1760907489	0.0068055556	60.7200451318
295.0000000000	-1.1460907489	0.0068287037	22.0589111477
296.0000000000	-1.1070907489	0.0068518519	22.8573799812
297.0000000000	-1.0610907489	0.0068750000	20.1525973612
298.0000000000	-1.0170907489	0.0068981481	14.9707610676
299.0000000000	-0.9690907489	0.0069212963	11.4885412884
300.0000000000	-0.9330907489	0.0069444444	24.2452401360
301.0000000000	-0.8980907489	0.0069675926	8.2347389559
302.0000000000	-0.8670907489	0.0069907407	30.3481841385
303.0000000000	-0.8310907489	0.0070138889	37.6628962591
304.0000000000	-0.7820907489	0.0070370370	26.6393644971
305.0000000000	-0.7350907489	0.0070601852	17.6020981607
306.0000000000	-0.6730907489	0.0070833333	17.1522551226
307.0000000000	-0.6220907489	0.0071064815	21.4902343007
308.0000000000	-0.5740907489	0.0071296296	21.5495460395
309.0000000000	-0.5270907489	0.0071527778	11.6520308166
310.0000000000	-0.4900907489	0.0071759259	24.7795871411
311.0000000000	-0.4460907489	0.0071990741	17.8355901795
312.0000000000	-0.4100907489	0.0072222222	9.8787200796
313.0000000000	-0.3640907489	0.0072453704	22.6184354829
314.0000000000	-0.3330907489	0.0072685185	16.6589568817
315.0000000000	-0.2910907489	0.0072916667	15.1092090183
316.0000000000	-0.2670907489	0.0073148148	14.6050729322
317.0000000000	-0.2320907489	0.0073379630	20.1960039859
318.0000000000	-0.2070907489	0.0073611111	30.0669608220
